item_title,item_id,matched_project_id,auto_linked,match_confidence,match_criteria,match_count,candidate_confidence,candidate_criteria,jurisdiction,project_name,ordinance_number,request_type,description,petitioner,meeting_id,meeting_date,body,source_url,review_status
Rezoning — Maple Grove Estates,AI-5001,1,Yes,High,"ordinance_id + project_name exact match",1,high,"land-use keywords: rezone, subdivision",Westfield,Maple Grove Estates,ORD-2025-14,Rezoning,"Request: Rezone 48 ac AG to R-2 for 142 lots",Arbor Homes LLC,MTG-3011,2025-03-11,Plan Commission,https://docs.example.org/agenda/3011.pdf,tracked
Primary Plat — Prairie Crossing,AI-5002,2,Yes,High,"ordinance_id match",1,high,"plat request",Carmel,Prairie Crossing,RZ-24-08,Preliminary Plat,"Request: Preliminary plat approval, 88 lots",DR Horton Indiana,MTG-2018,2025-02-18,Council,https://docs.example.org/agenda/2018.pdf,tracked
"Rezone — Smith & Sons Farmstead",AI-5003,3,Yes,High,"project_name + alias ""S&S Farm"" match",1,high,"rezone AG->R-2 <64 lots>",Noblesville,Smith & Sons Farmstead,ORD-2025-21,Rezoning,"Request: Rezone AG to R-2; note ""adjacent to elementary""",Smith & Sons Development,MTG-4008,2025-04-08,Plan Commission,https://docs.example.org/agenda/4008.pdf,tracked
"PUD Amend — Cedar Ridge <Phase II>",AI-5004,4,No,High,"project_name match; ambiguous ord",2,high,"density > 3.5 u/ac & setback waiver",Fishers,Cedar Ridge Phase II,ORD-2025-30,PUD,"Request: PUD amendment; applicant seeks density > 3.5 units/acre",Pulte Homes,MTG-5006,2025-05-06,Council,https://docs.example.org/agenda/5006.pdf,new
Variance — Willow Bend,AI-5005,5,No,Medium,"name-only mention in staff report",1,low,"variance keyword",Zionsville,Willow Bend,RZ-25-02,Variance (BZA),"Request: Setback variance, corner lot",Fischer Homes,MTG-2600,2025-02-26,BZA,https://docs.example.org/agenda/2600.pdf,new
Preliminary Plat — Stonebridge Commons,AI-5006,6,Yes,High,"ordinance_id match",1,high,"210-lot plat",Brownsburg,Stonebridge Commons,ORD-2025-09,Preliminary Plat,"Request: Preliminary plat, 210 lots in 3 sections",Lennar Indiana,MTG-3025,2025-03-25,Plan Commission,https://docs.example.org/agenda/3025.pdf,tracked
"Annex & Rezone — O'Brien Meadows",AI-5007,7,Yes,High,"project_name + petitioner ""O'Brien"" match",1,high,"annexation & rezone",Greenwood,O'Brien Meadows,ORD-2025-33,Annexation,"Request: Voluntary annexation & rezone to R-1; petitioner's counsel to present",O'Brien Land Co.,MTG-5020,2025-05-20,Council,https://docs.example.org/agenda/5020.pdf,new
Development Plan — Lakeside Village,AI-5008,9,Yes,High,"ordinance_id match",1,high,"dev plan, 133 lots",Lebanon,Lakeside Village,ORD-2025-41,Development Plan,"Request: Development plan approval",Beazer Homes,MTG-6003,2025-06-03,Plan Commission,https://docs.example.org/agenda/6003.pdf,tracked
Rezoning — Northgate Reserve,AI-5009,10,Yes,High,"ordinance_id match",1,high,"rezone",McCordsville,Northgate Reserve,ORD-2025-45,Rezoning,"Request: Rezone to PUD, 67 lots",Drees Homes,MTG-6017,2025-06-17,Council,https://docs.example.org/agenda/6017.pdf,tracked
"PUD — Vista Verde ""West""",AI-5010,11,No,High,"alias ""Vista Verde West"" match",1,high,"PUD amend <145 lots>",Whitestown,Vista Verde West,RZ-25-07,PUD,"Request: PUD amendment; ""mixed-use"" parcel > 5 ac",Estridge Homes,MTG-4022,2025-04-22,Plan Commission,https://docs.example.org/agenda/4022.pdf,new
Special Exception — Hunter's Glen,AI-5011,17,Yes,High,"project_name + alias match",1,high,"private drive < 20 ft",Plainfield,Hunter's Glen,RZ-25-11,Special Exception (BZA),"Request: Special exception for private drive < 20 ft width",Hallmark Homes,MTG-5027,2025-05-27,BZA,https://docs.example.org/agenda/5027.pdf,tracked
"Rezone — Baker & Wells Tract",AI-5012,22,Yes,High,"project_name + alias ""B&W Tract"" match",1,high,"rezone I-1 -> R-3",Carmel,Baker & Wells Tract,ORD-2025-58,Rezoning,"Request: Rezone I-1 to R-3; abuts ""historic district"" & floodplain",Baker & Wells Partners,MTG-7015,2025-07-15,Council,https://docs.example.org/agenda/7015.pdf,tracked
Secondary Plat — Kingsley Park,AI-5013,19,Yes,Medium,"ordinance_id match; date mismatch",1,high,"175-lot plat",Lapel,Kingsley Park,ORD-2025-29,Secondary/Final Plat,"Request: Secondary plat, 175 lots",Forestar Group,MTG-4029,2025-04-29,Council,https://docs.example.org/agenda/4029.pdf,new
Rezoning — Emerald Fields,AI-5014,18,Yes,High,"ordinance_id match",1,high,"rezone, 80 lots",Danville,Emerald Fields,ORD-2025-07,Rezoning,"Request: Rezone AG to R-2",Onyx East,MTG-3004,2025-03-04,Plan Commission,https://docs.example.org/agenda/3004.pdf,tracked
