item_title,item_id,matched_project_id,agenda_item_id,agenda_match_how,match_confidence,candidate_confidence,outcome,additional_notes,jurisdiction,project_name,ordinance_number,description,petitioner,meeting_id,meeting_date,body,summary_doc_url,youtube_url,video_title,review_status
Maple Grove Estates — hearing,YT-6001,1,AI-5001,"ordinance_id match",High,high,"Approved 6-1","Commissioner noted traffic study pending",Westfield,Maple Grove Estates,ORD-2025-14,"Board approved rezone with 6-1 vote",Arbor Homes LLC,MTG-3011,2025-03-11,Plan Commission,https://docs.example.org/summary/3011.doc,https://youtu.be/vid3011,"Westfield Plan Commission — March 11, 2025",tracked
Prairie Crossing — hearing,YT-6002,2,AI-5002,"project_name match",High,high,"Approved 7-0","Consent agenda item",Carmel,Prairie Crossing,RZ-24-08,"Preliminary plat approved unanimously",DR Horton Indiana,MTG-2018,2025-02-18,Council,https://docs.example.org/summary/2018.doc,https://youtu.be/vid2018,"Carmel City Council — Feb 18, 2025",tracked
"Smith & Sons Farmstead — hearing",YT-6003,3,AI-5003,"alias ""S&S Farm"" match",High,high,"Approved 5-2 ""with conditions""","Conditions: buffer > 30 ft & sidewalk",Noblesville,Smith & Sons Farmstead,ORD-2025-21,"Rezone approved 5-2; note <school proximity> raised by public",Smith & Sons Development,MTG-4008,2025-04-08,Plan Commission,https://docs.example.org/summary/4008.doc,https://youtu.be/vid4008,"Noblesville PC — April 8, 2025 <part 1>",tracked
"Cedar Ridge <Phase II> — hearing",YT-6004,4,AI-5004,"project_name match; twin ambiguous",High,high,"Continued","Continued to 05/20; density > 3.5 u/ac contested",Fishers,Cedar Ridge Phase II,ORD-2025-30,"Council continued the PUD amendment; ""density"" & ""setback"" debated",Pulte Homes,MTG-5006,2025-05-06,Council,https://docs.example.org/summary/5006.doc,https://youtu.be/vid5006,"Fishers Council — May 6, 2025",new
"O'Brien Meadows — hearing",YT-6005,7,AI-5007,"petitioner ""O'Brien"" match",High,high,"Tabled","Petitioner's counsel requested table",Greenwood,O'Brien Meadows,ORD-2025-33,"Annexation & rezone tabled at petitioner's request",O'Brien Land Co.,MTG-5020,2025-05-20,Council,https://docs.example.org/summary/5020.doc,https://youtu.be/vid5020,"Greenwood Common Council — May 20, 2025",new
Stonebridge Commons — hearing,YT-6006,6,AI-5006,"ordinance_id match",High,high,"Approved 4-3","Split vote; drainage concerns",Brownsburg,Stonebridge Commons,ORD-2025-09,"Preliminary plat approved 4-3",Lennar Indiana,MTG-3025,2025-03-25,Plan Commission,https://docs.example.org/summary/3025.doc,https://youtu.be/vid3025,"Brownsburg PC — March 25, 2025",tracked
"Vista Verde ""West"" — hearing",YT-6007,11,AI-5010,"alias match",High,high,"Denied 4-3","Petitioner indicated intent to re-file",Whitestown,Vista Verde West,RZ-25-07,"PUD amendment denied 4-3; ""mixed-use"" parcel cited",Estridge Homes,MTG-4022,2025-04-22,Plan Commission,https://docs.example.org/summary/4022.doc,https://youtu.be/vid4022,"Whitestown PC — April 22, 2025",new
"Baker & Wells Tract — hearing",YT-6008,22,AI-5012,"alias ""B&W Tract"" match",High,high,"Approved 6-1","One dissent on ""historic district"" grounds",Carmel,Baker & Wells Tract,ORD-2025-58,"Rezone I-1 to R-3 approved 6-1",Baker & Wells Partners,MTG-7015,2025-07-15,Council,https://docs.example.org/summary/7015.doc,https://youtu.be/vid7015,"Carmel City Council — July 15, 2025",tracked
Hunter's Glen — hearing,YT-6009,17,AI-5011,"project_name match",High,high,"Approved w/ variance","Private drive < 20 ft allowed via special exception",Plainfield,Hunter's Glen,RZ-25-11,"Special exception approved",Hallmark Homes,MTG-5027,2025-05-27,BZA,https://docs.example.org/summary/5027.doc,https://youtu.be/vid5027,"Plainfield BZA — May 27, 2025",tracked
Emerald Fields — hearing,YT-6010,18,AI-5014,"ordinance_id match",High,high,"Approved 7-0","No public remonstrance",Danville,Emerald Fields,ORD-2025-07,"Rezone approved unanimously",Onyx East,MTG-3004,2025-03-04,Plan Commission,https://docs.example.org/summary/3004.doc,https://youtu.be/vid3004,"Danville PC — March 4, 2025",tracked
Kingsley Park — hearing,YT-6011,19,AI-5013,"ordinance_id match",Medium,high,"Approved 5-2","Date discrepancy with agenda noted",Lapel,Kingsley Park,ORD-2025-29,"Secondary plat approved 5-2",Forestar Group,MTG-4029,2025-04-29,Council,https://docs.example.org/summary/4029.doc,https://youtu.be/vid4029,"Lapel Town Council — April 29, 2025",new
