TP_Field,JSON_Type,Group,Source_Definition,Currently_Synced_To,Suggested_AGO_Field,Suggested_Esri_Type,Suggested_Length,"Include? (Y/N)",Your_Notes
projectId,str,Identity,"MRD internal id (proj_...). Stable key for traceability.",,Project_Id,String,40,,
ordinanceId,str,Identity,"Tracked_Projects ordinance/legislation number(s).",,Ordinance,String,120,,
projectName,str,Identity,"Tracked_Projects project name.",LeadsDeals,LeadsDeals,String,255,Y,
aliases,str,Identity,"Tracked_Projects aliases - comma-joined alt names & ordinance numbers.",,Aliases,String,512,,
jurisdiction,str,Identity,"Tracked_Projects jurisdiction (municipality).",,Jurisdiction,String,80,,
status,str,Identity,"active / archived / deleted (ONLY_ACTIVE=True syncs active only).",,Status,String,20,,
createdDate,str,Identity,"Date project created (M/D/YYYY, text).",,Created_Date,String,20,,
notes,str,Identity,"Operator free-text notes on Tracked_Projects.",,Op_Notes,String,2000,,
lastScanned,str,Identity,"Date of last project scan (M/D/YYYY, text).",,Last_Scanned,String,20,,
refCount,int,Reference rollup,"Count of active (New/High) Project_References matched to project.",,Ref_Count,Integer,,,
lastDate,str,Reference rollup,"Latest High-confidence reference date (the anchor date).",,Last_Ref_Date,String,20,,
lastNature,str,Reference rollup,"Nature of latest action (e.g. tabled, first reading).",,Last_Nature,String,60,,
lastConfidence,str,Reference rollup,"Confidence of latest ref: High (identifier) / Medium (name).",,Confidence,String,12,,
latestRefDate,str,Reference rollup,"Latest reference date across refs.",,Latest_Ref_Date,String,20,,
pendingSummaryDate,str,Reference rollup,"Date of a newer un-summarized agenda (P136 pending-summary flag); blank if none.",,Pending_Summary,String,20,,
petitionerApplicant,str,Petitioner,"Tracked_Projects manual petitioner/applicant field.",,Petitioner_Manual,String,200,,
latestYtPetitioner,str,Petitioner,"Parsed 'Petitioner:' line from Agenda_Items.item_summary (summary item).",,Petitioner_YT,String,200,,
petitionerDisplay,str,Petitioner,"Resolved petitioner: manual override wins, else YT-derived.",,Petitioner,String,200,,
petitionerSource,str,Petitioner,"Which source fed petitionerDisplay (manual / yt).",,Petitioner_Src,String,20,,
latestMeetingDate,str,Latest meeting,"Meetings.meeting_date of the latest ref; feeds Terms.",Terms (part),Meeting_Date,String,20,,
latestMeetingType,str,Latest meeting,"Meetings.meeting_type (or agenda-type fallback); feeds Terms.",Terms (part),Meeting_Type,String,60,,
latestMeetingName,str,Latest meeting,"Composed meeting name/title (e.g. 'Noblesville Common Council - 5/12/26').",,Meeting_Name,String,160,,
latestVideoTitle,str,Latest meeting,"Meetings.video_title for the latest ref meeting.",,Video_Title,String,200,,
latestAgendaUrl,str,Latest meeting,"Cached latest agenda document URL (latest_* cache).",,Agenda_URL,String,400,,
latestYtSummaryUrl,str,Latest meeting,"Cached latest summary-doc / source URL (latest_* cache).",,Summary_URL,String,400,,
latestMinutesUrl,str,Latest meeting,"Cached latest minutes URL (latest_* cache).",,Minutes_URL,String,400,,
latestActionTaken,str,Latest meeting,"RESULTS. Composed from Agenda_Items outcome(U)+vote(V/W); legacy action_taken(I) fallback. SUMMARY-MATCHED ITEM ONLY - blank for un-summarized projects.",Last_Result,Last_Result,String,120,Y,
latestAdditionalNotes,str,Latest meeting,"Agenda_Items.additional_notes (col L). SUMMARY-MATCHED ITEM ONLY - blank for un-summarized projects.",,Additional_Notes,String,2000,,
latestRequestSummary,str,Latest meeting,"DESCRIPTION. Parsed 'Request:' from Agenda_Items.item_summary (col H); falls back summary item > agenda item > cached excerpt.",,Request_Summary,String,1000,,
manualMeetingType,str,Manual override,"Operator override of meeting type (Tracked_Projects manual col).",,Man_Meeting_Type,String,60,,
manualMeetingDate,str,Manual override,"Operator override of meeting date.",,Man_Meeting_Date,String,20,,
manualResults,str,Manual override,"Operator override of results text.",,Man_Results,String,120,,
builder,str,Builder,"Tracked_Projects builder. AGO target is DOMAIN-CONSTRAINED (coded-value List 18) - text must match an allowed value exactly or the edit is rejected.",Builder,Builder,String,100,Y,
lots,str,Builder,"Lot count - manual or from Agenda_Items.lots (col M) of summary item.",,Lots,String,20,,
lotsSource,str,Builder,"Where lots value came from (manual / yt).",,Lots_Src,String,20,,
mapUrl,str,Map/links,"AbsoluteGIS interactive map link for the project.",,Map_URL,String,400,,
mapId,str,Map/links,"GlobalID GUID = the MATCH KEY (ID_FIELD). Not stored as an attribute.",ID_FIELD (match key),,,N,
driveFolderId,str,Map/links,"Google Drive folder id; notebook derives FolderLink = drive URL.",FolderLink (derived),FolderLink,String,400,Y,
agendaRefs,list,Structured,"Array of {date,url} agenda history. NOT a scalar - flatten to a string or use refCount instead.",,(flatten or skip),String,4000,,
