Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Product Type,Product Style,Lot Size,Lot Width Variations,Lot Dimensions,Open Date,Sold Out Date,Total Units Planned,Total Units Sold,Total Units Remaining,Sales Change Date,Sales Rate,Last 3M Avg. Sales,Last 6M Avg. Sales,Last 12M Avg. Sales,Min. Unit Size,Max. Unit Size,Avg. Unit Size,Min. List Price,Max. List Price,Avg. List Price,Price Change Date,HOA Fee 1,HOA Fee 2,HOA Fee per Sqft,Assessments,Assessments Description,Project Characteristics,Total Units Sold BOM,Total Units Sold EOM,Office Phone No.,Website,Master Plan Key,Subdivision Universal ID,Period,Monthly Sales,Profile Available,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001YafaCAC,Heron Creek,Arbor Homes,Clayton Properties Group,Active,,,Detached,Single-Family,10075,65,65x155; 65x126; 65x125,8/7/2020,,235,233,2,5/10/2026,3.34,1.33,1.17,1.67,1354,3198,2233,263995.00,349995.00,311904.09,5/10/2026,50.00,,,0.87,,,40,44,(317) 622-1493,https://yourarborhome.com/neighborhoods/indianapolis/greenfield/heron-creek,,3863fac4-f22a-4c15-9de1-bf9e461d7f21,6/1/2021,4,True,Non Active Adult,46140,Greenfield,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,Mt Comfort Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.80734,-85.92481
aAf3x000001Ye57CAC,Kimblewick/Belmont,Del Webb,PulteGroup Inc.,Active,,,Detached,Single-Family,6760,52,52x130,5/1/2021,,225,205,20,5/4/2026,3.37,0.00,1.67,3.08,1646,1841,1744,435990.00,473990.00,454990.00,5/13/2026,277.00,,,1.00,,Active Adult,14,16,(317) 559-8309,https://www.delwebb.com/homes/indiana/indianapolis/westfield/kimblewick-by-del-webb-210598,,93d495d8-f72e-4bc0-8ede-ca943fa263eb,6/1/2021,2,True,Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Shamrock Springs Elementary School,9; 8,Westfield Middle School,9,Westfield High School,10,,40.00812,-86.20483
aAf2T000001MVfnSAG,South Village of Nickel Plate,Gradison Design|Build,,Active,,,Detached,Single-Family,3914,38,38x103,5/25/2018,,25,23,2,5/9/2026,0.24,0.00,0.00,0.00,,,,500000.00,800000.00,,,25.00,,,1.00,,,15,16,(317) 361-0454,http://gradisonbuilding.com/where-we-build/south-village-of-nickel-plate/,,,6/1/2021,1,True,Non Active Adult,46038,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Riverside Intermediate School; Fishers Elementary School,10; 8,Riverside Jr High,8,Fishers High School,10,,39.95424,-86.01490
aAf2T000001URgMSAW,Lindley Run/SF,Olthof Homes,,Active,,,Detached,Single-Family,10080,70,70x144; 70x157,3/9/2020,,83,79,4,5/23/2026,1.05,0.67,2.33,1.67,1903,3142,2461,476842.00,532985.00,500311.50,5/23/2026,50.33,,,0.00,Total Tax Rate,,0,2,(317) 733-5141,https://www.olthofhomes.com/communities/central-indiana/westfield/lindley-run,,cd566d40-e379-4a3c-8254-48088024c013,6/1/2021,2,True,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Washington Woods Elementary School,9; 7,Westfield Middle School,9,Westfield High School,10,,40.06833,-86.10631
aAf3x000001ckkUCAQ,Lindley Run/THs,Olthof Homes,,Active,,,Attached,Townhomes,,,,9/30/2020,,237,176,61,5/25/2026,2.57,1.67,3.17,2.67,1394,1394,1394,288530.00,288530.00,288530.00,5/25/2026,154.00,,,,,Townhomes,0,0,(317) 733-5141,https://www.olthofhomes.com/communities/central-indiana/westfield/lindley-run,,6b5ed214-c980-478c-955f-e1055992f928,6/1/2021,0,True,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Washington Woods Elementary School,9; 7,Westfield Middle School,9,Westfield High School,10,,40.06833,-86.10631
aAf2T000001MiySSAS,Briar Creek Ranches,Ryan Homes,NVR Inc.,Active,,,Detached,Single-Family,4950,45;60,45x110; 60x134,11/9/2019,,209,200,9,3/31/2026,2.58,10.00,5.50,3.50,1153,1720,1493,266990.00,312990.00,292790.00,5/9/2026,130.00,,,1.04,,,33,36,(317) 620-8192,http://www.ryanhomes.com/find-your-home/our-communities/indiana/whiteland/briarcreekvillas?utm_source=bdx&utm_medium=referral&utm_term=ind&utm_content=community_listing&utm_campaign=briar-creek-villas,,61a24027-6cfa-4acf-acbe-20dc7b5a5a2b,6/1/2021,3,True,Non Active Adult,46184,Whiteland,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Whiteland Elementary School,8,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.54723,-86.09546
aAf2T000001MbYBSA0,Waterfront of West Clay/Island,Shoopman Homes,,Active,,,Detached,Single-Family,17600,110,110x160,5/27/2019,,23,22,1,5/25/2026,0.26,1.33,0.67,0.33,2700,4966,3819,969900.00,1345900.00,1117600.00,5/25/2026,500.00,,,0.80,,,3,3,(317) 733-9836,https://waterfrontofwestclay.com/,,90499952-4d01-41a7-b123-806b0b6b0bf3,6/1/2021,0,True,Non Active Adult,46077,Zionsville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Carmel Clay Schools,West Clay Elementary,9,Creekside Middle School,10,Carmel High School,10,,39.95694,-86.23909
aAf3x000001YZF2CAO,Kimblewick/Churchill,Del Webb,PulteGroup Inc.,Active,,,Detached,Single-Family,8450,65,65x130; 65x120,5/1/2021,,198,160,38,4/30/2026,2.64,3.00,2.00,2.00,2213,2754,2463,540990.00,585990.00,559323.33,5/13/2026,292.00,,,1.00,,Active Adult,18,20,(317) 814-2319,https://www.delwebb.com/homes/indiana/indianapolis/westfield/kimblewick-by-del-webb-210598,,93d495d8-f72e-4bc0-8ede-ca943fa263eb,6/1/2021,2,True,Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Shamrock Springs Elementary School,9; 8,Westfield Middle School,9,Westfield High School,10,,40.00812,-86.20483
aAf3x000001Ye5CCAS,Kimblewick/Keeneland,Del Webb,PulteGroup Inc.,Active,,,Detached,Single-Family,5980,46;65,46x130; 65x120,5/1/2021,,159,157,2,5/6/2026,2.58,3.67,3.00,2.33,1504,1504,1504,369990.00,369990.00,369990.00,5/6/2026,262.00,,,1.00,,Active Adult,18,23,(317) 559-8309,https://www.delwebb.com/homes/indiana/indianapolis/westfield/kimblewick-by-del-webb-210598,,93d495d8-f72e-4bc0-8ede-ca943fa263eb,6/1/2021,5,True,Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Shamrock Springs Elementary School,9; 8,Westfield Middle School,9,Westfield High School,10,,40.00812,-86.20483
aAf2T000001UM5RSAW,Bluffs at Youngs Creek,Arbor Homes,Clayton Properties Group,Active,,,Detached,Single-Family,9100,70,70x130; 70x140; 70x167,1/11/2020,,478,335,143,3/30/2026,4.44,3.33,3.33,3.67,1354,3198,2233,263995.00,339995.00,304176.82,3/30/2026,22.92,,,1.00,,,92,95,(317) 674-7808,https://yourarborhome.com/neighborhoods/indiana/franklin/bluffs-at-youngs-creek,,e241220c-795f-4f6e-bfff-b6b4e8f4d22a,6/1/2021,3,True,Non Active Adult,46131,Franklin,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Community School Corp,Custer Baker Intermediate School; Creekside Elementary School,7; 6,Franklin Community Middle School,7,Franklin Community High School,6,,39.46475,-86.06519
