Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Product Type,Product Style,Lot Size,Lot Width Variations,Lot Dimensions,Open Date,Sold Out Date,Total Units Planned,Total Units Sold,Total Units Remaining,Sales Change Date,Sales Rate,Last 3M Avg. Sales,Last 6M Avg. Sales,Last 12M Avg. Sales,Min. Unit Size,Max. Unit Size,Avg. Unit Size,Min. List Price,Max. List Price,Avg. List Price,Price Change Date,QMI Incentive %age,QMI Incentive Amt.,QMI Incentive Type,Broker Incentive %age,Broker Incentive Amt.,Broker Incentive Type,To Be Built Incentive %age,To Be Built Incentive Amt.,To Be Built Incentive Type,HOA Fee 1,HOA Fee 2,HOA Fee per Sqft,Assessments,Assessments Description,Project Characteristics,Office Phone No.,Website,Master Plan Key,Subdivision Universal ID,Period,Avg. List Price,Profile Available,Active Adult,ZIP Code,City,County,County Code,State,CBSA,CBSA Code,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf2T000001MbYBSA0,Waterfront of West Clay/Island,Shoopman Homes,,Active,,,Detached,Single-Family,17600,110,110x160,5/27/2019,,23,22,1,5/25/2026,0.26,1.33,0.67,0.33,2700,4966,3819,969900.00,1345900.00,1117600.00,5/25/2026,,,No Incentives Confirmed,3.00,,Final Price,,,No Incentives Confirmed,500.00,,,0.80,,,(317) 733-9836,https://waterfrontofwestclay.com/,,90499952-4d01-41a7-b123-806b0b6b0bf3,1/1/2023,921275,True,Non Active Adult,46077,Zionsville,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Carmel Clay Schools,West Clay Elementary,9,Creekside Middle School,10,Carmel High School,10,,39.95694,-86.23909
aAf3x000001Qf83CAC,Hobbs Station,Taylor Morrison,,Active,,,Detached,Single-Family,3720,40,40x93; 40x98; 40x189,9/1/2023,,78,52,26,4/17/2026,1.63,1.33,1.00,2.00,1722,2661,2093,343000.00,380500.00,362357.14,4/17/2026,3.75,,Fixed Interest Rate,3.00,,Base Price,3.75,,Financing Benefit,99.10,,,2.16,,,(317) 790-5000,https://www.taylormorrison.com/in/indianapolis/plainfield/hobbs-station,,2425af2a-3561-440e-a89b-fd8504b7cb72,1/1/2025,358375,True,Non Active Adult,46168,Plainfield,Hendricks,18063,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Avon Community School Corp,Cedar Elementary School; Avon Intermediate School West,7; 7,Avon Middle School South,10,Avon High School,10,,39.72184,-86.35653
aAf3x000001WdgGCAS,Fairview West,Olthof Homes,,Active,,,Detached,Single-Family,7598,58;75,58x131; 75x140; 75x134,10/1/2022,,137,58,79,4/6/2026,1.36,2.67,3.33,2.17,1436,3142,2246,350300.00,466300.00,408736.36,4/6/2026,,25000.00,Reduced Closing Costs,3.00,,Final Price,,25000.00,Reduced Closing Costs,53.66,,,,,,(219) 558-8080,https://www.olthofhomes.com/communities/central-indiana/brownsburg/fairview-west,,8a65a40d-edbe-47cb-b7cf-eb01a462bbf0,4/1/2026,408736,True,Non Active Adult,46112,Brownsburg,Hendricks,18063,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Brownsburg Community Sch Corp,Delaware Trail Elementary School,9,Brownsburg East Middle School,9,Brownsburg High School,10,,39.86584,-86.42391
aAf3x000001QWMGCA4,Haven Ponds,Silverthorne Homes,Clayton Properties Group,Active,,,Detached,Single-Family,8775,65,65x135; 65x137,10/14/2023,,245,114,131,5/12/2026,3.65,7.00,3.83,3.33,1801,3310,2531,359995.00,445995.00,392295.00,5/12/2026,,,Financing Benefit,3.00,,Base Price,,,Financing Benefit,,,,,,,(317) 953-5232,https://silverthornehomes.com/neighborhoods/indiana/mccordsville/haven-ponds,,61d79a25-447b-480b-9776-f37897b0cb23,12/1/2023,378094,True,Non Active Adult,46055,McCordsville,Hancock,18059,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.92797,-85.89899
aAf3x000001YZF2CAO,Kimblewick/Churchill,Del Webb,PulteGroup Inc.,Active,,,Detached,Single-Family,8450,65,65x130; 65x120,5/1/2021,,198,160,38,4/30/2026,2.64,3.00,2.00,2.00,2213,2754,2463,540990.00,585990.00,559323.33,5/13/2026,4.88,,Fixed Interest Rate,3.00,,Final Price,,25000.00,Design Credit/Incentive,292.00,,,1.00,,Active Adult,(317) 814-2319,https://www.delwebb.com/homes/indiana/indianapolis/westfield/kimblewick-by-del-webb-210598,,93d495d8-f72e-4bc0-8ede-ca943fa263eb,3/1/2023,494990,True,Active Adult,46074,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Shamrock Springs Elementary School,9; 8,Westfield Middle School,9,Westfield High School,10,,40.00812,-86.20483
aAf3x000001QdoYCAS,Magnolia Ridge/Crossing,Pulte Homes,PulteGroup Inc.,Active,,,Detached,Single-Family,,,,11/23/2025,,30,,30,12/1/2025,,,,,2899,3300,3086,439990.00,469990.00,456240.00,5/26/2026,,,,,,,,,,,,,,,,(317) 225-5505,https://www.pulte.com/homes/indiana/indianapolis/noblesville/magnolia-ridge-211229,,6691f593-c6b7-44ba-8f3a-fd8be023f7a9,9/1/2025,0,True,Non Active Adult,46062,Noblesville,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Noblesville Schools,Noble Crossing Elementary School,8,Noblesville West Middle School,9,Noblesville High School,10,,40.02936,-86.06009
aAf3x000001QegiCAC,Oakdale,Pulte Homes,PulteGroup Inc.,Active,,,Detached,Single-Family,8976,66;73,66x136; 73x136,7/1/2024,,61,54,7,5/4/2026,2.42,3.33,2.33,2.00,2899,3300,3087,399990.00,454990.00,430990.00,5/4/2026,3.99,50000.00,Financing Benefit,2.00,,Base Price,3.99,50000.00,Financing Benefit,,,,,,,(317) 790-3024,https://www.pulte.com/homes/indiana/indianapolis/brownsburg/oakdale-211244,,b50e4d28-4535-4915-8b89-206cde7e179d,8/1/2024,397561,True,Non Active Adult,46112,Brownsburg,Hendricks,18063,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Brownsburg Community Sch Corp,Eagle Elementary School,10,Brownsburg West Middle School,8,Brownsburg High School,10,,39.86610,-86.38409
aAf3x000001WTvqCAG,Atwater/ Duplexes,Olthof Homes,,Active,,,Attached,Townhomes,5850,45,45x130,6/6/2022,,94,50,44,5/23/2026,1.04,1.00,0.67,0.50,1515,1532,1524,305500.00,309700.00,307600.00,5/23/2026,,25000.00,Reduced Closing Costs,3.00,,Final Price,,25000.00,Design Credit/Incentive,184.00,,,0.97,,Paired Homes,(317) 832-3413,https://www.olthofhomes.com/communities/central-indiana/westfield/atwater,,4b740ea1-1462-4ce4-b271-8b8c0807f948,10/1/2023,274833,True,Non Active Adult,46069,Sheridan,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.06794,-86.18028
aAf3x000001WTYwCAO,Silo Ridge/TH,M/I Homes,,Active,,,Attached,Townhomes,2880,24,24x120,4/5/2025,,74,26,48,5/12/2026,1.95,3.00,2.50,1.58,1778,2025,1910,274990.00,289990.00,283323.33,5/12/2026,,4000.00,Reduced Closing Costs,3.00,,Final Price,,,No Incentives Confirmed,249.83,,,1.00,,Townhomes,(317) 210-4677,https://www.mihomes.com/new-homes/indiana/indianapolis-metro/noblesville/silo-ridge/series/townhome-series,,766e9fce-9ad4-4cd9-8d87-1bbb6ceee95d,1/1/2026,272490,True,Non Active Adult,46060,Noblesville,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Hamilton Southeastern Schools,Fall Creek Intermediate School; Deer Creek Elementary,9; 7,Fall Creek Junior High,7,Hamilton Southeastern High School,10,,40.03510,-85.94254
aAfPc000000PyH7KAK,Harbor at Grand Park Village,Beazer Homes,,Active,,,Attached,Townhomes,7500,50,50x150,6/5/2024,,74,33,41,5/25/2026,1.38,1.33,1.33,1.25,1764,2148,1919,352990.00,379990.00,368490.00,5/25/2026,,10000.00,Reduced Closing Costs,3.00,,Base Price,,25000.00,Reduced Closing Costs,,,,,,Duplex/Duet,(317) 602-1498,https://www.beazer.com/indianapolis-IN/harbor-at-grand-park-village/?LeadSourceID=4&utm_campaign=aggregator&utm_source=NewHome Source&utm_medium=listing,,7d2aa475-4d52-45fb-beea-6a373361605f,8/1/2025,376240,True,Non Active Adult,46074,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.05416,-86.15546
aAfPc000001DUCbKAO,Midland/Terraces SF,Estridge Homes,,Active,,,Detached,Single-Family,4293,53,53x81,7/1/2024,,21,12,9,5/7/2026,0.54,2.00,1.33,0.75,2040,2040,2040,534000.00,534000.00,534000.00,5/7/2026,6.00,40000.00,Financing Benefit,3.00,,Final Price,,,No Incentives Confirmed,338.00,,,,,,(317) 932-8785,https://www.estridgehomes.com/new-homes/in/westfield/the-terraces/14711/,,f309aca7-c2a2-4da2-8e5d-680861241151,8/1/2025,499000,True,Non Active Adult,46074,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Maple Glen Elementary,9; 8,Westfield Middle School,9,Westfield High School,10,,40.03976,-86.18435
aAf3x000001WrRPCA0,Augusta Heights,Arbor Homes,Clayton Properties Group,Active,,,Detached,Single-Family,5000,50,50x100; 50x148,2/12/2023,,150,147,3,5/14/2026,3.73,0.00,0.17,2.67,1228,3200,2213,232995.00,316995.00,279745.00,5/14/2026,4.99,,Fixed Interest Rate,3.00,,Base Price,,,Fixed Interest Rate,,,,,,,(463) 227-1390,https://www.yourarborhome.com/neighborhoods/indiana/indianapolis/augusta-heights?utm_source=bdx&utm_medium=feed&utm_campaign=bdx&utm_content=augusta-heights,,b9c11907-cd43-4414-907d-8d67e6086bb3,1/1/2024,247095,True,Non Active Adult,46268,Indianapolis,Marion,18097,IN,"Indianapolis-Carmel-Greenwood, IN",26900,M S D Pike Township,,,,,Pike High School,4,,39.89474,-86.21371
aAf3x000001QVVICA4,Carramore,Drees Homes,,Active,,,Detached,Single-Family,10360,65;74,74x140; 65x150,4/15/2023,,82,81,1,5/12/2026,2.17,1.33,1.00,1.00,2284,3334,2863,542900.00,770100.00,606845.45,5/12/2026,3.88,,Financing Benefit,3.00,,Base Price,1.00,,Financing Benefit,50.00,,,,,,(317) 720-2578,https://www.dreeshomes.com/custom-homes/indianapolis/community/carramore/carramore/,,9a964f2f-1213-4b98-b92f-a4ea511263f9,6/1/2025,556120,True,Non Active Adult,46069,Sheridan,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.07796,-86.16111
